hour,minute,second,brightness,elapsedSeconds,isSunset,isManualMode
13,39,0,100,26459,0,0
13,40,0,100,26519,0,0
13,41,0,100,26579,0,0
13,42,0,100,26639,0,0
13,43,0,100,26699,0,0
13,44,0,100,26759,0,0
13,45,0,100,26819,0,0
13,46,0,100,26879,0,0
13,47,0,100,26939,0,0
13,48,0,100,26999,0,0
13,49,0,100,27059,0,0
13,50,0,100,27119,0,0
13,51,0,100,27179,0,0
13,52,0,100,27239,0,0
13,53,0,100,27299,0,0
13,54,0,100,27359,0,0
13,55,0,100,27419,0,0
13,56,0,100,27479,0,0
13,57,0,100,27539,0,0
13,58,0,100,27599,0,0
13,59,0,100,27659,0,0
14,0,0,100,27719,0,0
14,1,0,100,27779,0,0
14,2,0,100,27839,0,0
14,3,0,100,27899,0,0
14,4,0,100,27959,0,0
14,5,0,100,28019,0,0
14,6,0,100,28079,0,0
14,7,0,100,28139,0,0
14,8,0,100,28199,0,0
14,9,0,100,28259,0,0
14,10,0,100,28319,0,0
14,11,0,100,28379,0,0
14,12,0,100,28439,0,0
14,13,0,100,28499,0,0
14,14,0,100,28559,0,0
14,15,0,100,28619,0,0
14,16,0,100,28679,0,0
14,17,0,100,28739,0,0
14,18,0,100,28799,0,0
14,19,0,100,28859,0,0
14,20,0,100,28919,0,0
14,21,0,100,28979,0,0
14,22,0,100,29039,0,0
14,23,0,100,29099,0,0
14,24,0,100,29159,0,0
14,25,0,100,29219,0,0
14,26,0,100,29279,0,0
14,27,0,100,29339,0,0
14,28,0,100,29399,0,0
14,29,0,100,29459,0,0
14,30,0,100,29519,0,0
14,31,0,100,29579,0,0
14,32,0,100,29639,0,0
14,33,0,100,29699,0,0
14,34,0,100,29759,0,0
14,35,0,100,29819,0,0
14,36,0,100,29879,0,0
14,37,0,100,29939,0,0
14,38,0,100,29999,0,0
14,39,0,100,30059,0,0
14,40,0,100,30119,0,0
14,41,0,100,30179,0,0
14,42,0,100,30239,0,0
14,43,0,100,30299,0,0
14,44,0,100,30359,0,0
14,45,0,100,30419,0,0
14,46,0,100,30479,0,0
14,47,0,100,30539,0,0
14,48,0,100,30599,0,0
14,49,0,100,30659,0,0
14,50,0,100,30719,0,0
14,51,0,100,30779,0,0
14,52,0,100,30839,0,0
14,53,0,100,30899,0,0
14,54,0,100,30959,0,0
14,55,0,100,31019,0,0
14,56,0,100,31079,0,0
14,57,0,100,31139,0,0
14,58,0,100,31199,0,0
14,59,0,100,31259,0,0
15,0,0,100,31319,0,0
15,1,0,100,31379,0,0
15,2,0,100,31439,0,0
15,3,0,100,31499,0,0
15,4,0,100,31559,0,0
15,5,0,100,31619,0,0
15,6,0,100,31679,0,0
15,7,0,100,31739,0,0
15,8,0,100,31799,0,0
15,9,0,100,31859,0,0
15,10,0,100,31920,0,0
15,11,0,100,31979,0,0
15,12,0,100,32039,0,0
15,13,0,100,32099,0,0
15,14,0,100,32159,0,0
15,15,0,100,32219,0,0
15,16,0,100,32279,0,0
15,17,0,100,32339,0,0
15,18,0,100,32399,0,0
15,19,0,100,32459,0,0
15,20,0,100,32519,0,0
15,21,0,100,32579,0,0
15,22,0,100,32639,0,0
15,23,0,100,32699,0,0
15,24,0,100,32759,0,0
15,25,0,100,32819,0,0
